Validator,PT_VERSION,2.5.1
Validator,ROCM_VERSION,6.2.0.0-66-98a50c5
Validator,HIPBLASLT_VERSION,800-50015815
Validator,GCN_ARCH_NAME,gfx1100
Validator,ROCBLAS_VERSION,4.2.0-54f305c1-dirty
GemmTunableOp_float_TN,tn_384_6048_1536,Gemm_Rocblas_1140853328,0.25889
GemmTunableOp_float_TN,tn_384_624_384,Gemm_Rocblas_1140853097,0.0206082
GemmTunableOp_float_TN,tn_384_6272_1536,Gemm_Rocblas_1140853036,0.330491
GemmTunableOp_float_TN,tn_384_128_1536,Gemm_Rocblas_1140853265,0.024831
GemmTunableOp_float_TN,tn_384_9_1536,Gemm_Rocblas_1140853250,0.020231
GemmTunableOp_float_TN,tn_384_6528_1536,Gemm_Rocblas_1140853036,0.335301
GemmTunableOp_float_TN,tn_1536_708_384,Gemm_Rocblas_1140853053,0.0449559
GemmTunableOp_float_TN,tn_384_7104_384,Gemm_Rocblas_1140853073,0.0929091
GemmTunableOp_float_TN,tn_1536_308_384,Gemm_Rocblas_1140853145,0.028215
GemmTunableOp_float_TN,tn_384_4_1536,Gemm_Rocblas_1140853250,0.0200302
GemmTunableOp_float_TN,tn_1536_6496_384,Gemm_Rocblas_1140853331,0.297949
GemmTunableOp_float_TN,tn_384_628_1536,Gemm_Rocblas_1140853170,0.0605972
GemmTunableOp_float_TN,tn_1536_392_384,Gemm_Rocblas_1140853066,0.0296766
GemmTunableOp_float_TN,tn_1536_6624_384,Gemm_Rocblas_1140853291,0.30628
GemmTunableOp_float_TN,tn_1536_732_384,Gemm_Rocblas_1140853073,0.0415479
GemmTunableOp_float_TN,tn_1536_484_384,Gemm_Rocblas_1140853066,0.0330895
GemmTunableOp_float_TN,tn_1536_620_384,Gemm_Rocblas_1140853064,0.0404291
GemmTunableOp_float_TN,tn_1536_280_384,Gemm_Rocblas_1140853157,0.027913
GemmTunableOp_float_TN,tn_384_7616_1536,Default,0.360258
GemmTunableOp_float_TN,tn_384_7744_1536,Default,0.366657
GemmTunableOp_float_TN,tn_384_880_384,Gemm_Rocblas_1140853100,0.0216566
GemmTunableOp_float_TN,tn_384_648_384,Gemm_Rocblas_1140853120,0.020833
GemmTunableOp_float_TN,tn_384_176_1536,Gemm_Rocblas_1140853191,0.0299175
GemmTunableOp_float_TN,tn_384_176_384,Gemm_Rocblas_1140853320,0.0146729
GemmTunableOp_float_TN,tn_384_392_384,Gemm_Rocblas_1140853306,0.0170305
GemmTunableOp_float_TN,tn_1536_88_384,Gemm_Rocblas_1140853309,0.0162337
GemmTunableOp_float_TN,tn_384_704_1536,Gemm_Rocblas_1140853098,0.0650885
GemmTunableOp_float_TN,tn_384_212_384,Gemm_Rocblas_1140853316,0.0147237
GemmTunableOp_float_TN,tn_384_7456_384,Gemm_Rocblas_1140853047,0.0988244
GemmTunableOp_float_TN,tn_1536_6176_384,Gemm_Rocblas_1140853331,0.295072
GemmTunableOp_float_TN,tn_1536_212_384,Gemm_Rocblas_1140853322,0.0218434
GemmTunableOp_float_TN,tn_1536_684_384,Gemm_Rocblas_1140853028,0.0454428
GemmTunableOp_float_TN,tn_384_7360_384,Gemm_Rocblas_1140853046,0.0986316
GemmTunableOp_float_TN,tn_384_684_384,Gemm_Rocblas_1140853098,0.021167
GemmTunableOp_float_TN,tn_384_7008_384,Gemm_Rocblas_1140853073,0.0951692
GemmTunableOp_float_TN,tn_384_188_1536,Gemm_Rocblas_1140853191,0.0299479
GemmTunableOp_float_TN,tn_384_728_1536,Gemm_Rocblas_1140853098,0.0653857
GemmTunableOp_float_TN,tn_384_6944_384,Gemm_Rocblas_1140853073,0.0910883
GemmTunableOp_float_TN,tn_384_188_384,Gemm_Rocblas_1140853316,0.0147017
GemmTunableOp_float_TN,tn_1536_360_384,Gemm_Rocblas_1140853100,0.0284038
GemmTunableOp_float_TN,tn_384_820_384,Gemm_Rocblas_1140853100,0.0219658
GemmTunableOp_float_TN,tn_1536_184_384,Gemm_Rocblas_1140853143,0.0208582
GemmTunableOp_float_TN,tn_384_436_384,Gemm_Rocblas_1140853306,0.0172469
GemmTunableOp_float_TN,tn_1536_224_384,Gemm_Rocblas_1140853100,0.0219609
GemmTunableOp_float_TN,tn_384_172_1536,Gemm_Rocblas_1140853191,0.029915
GemmTunableOp_float_TN,tn_1536_536_384,Gemm_Rocblas_1140853036,0.0414099
GemmTunableOp_float_TN,tn_384_236_384,Gemm_Rocblas_1140853308,0.0150169
GemmTunableOp_float_TN,tn_384_296_1536,Gemm_Rocblas_1140853191,0.0401271
GemmTunableOp_float_TN,tn_384_6528_384,Gemm_Rocblas_1140853073,0.0923651
GemmTunableOp_float_TN,tn_384_408_1536,Gemm_Rocblas_1140853108,0.0463304
GemmTunableOp_float_TN,tn_1536_6112_384,Gemm_Rocblas_1140853290,0.279985
GemmTunableOp_float_TN,tn_1536_568_384,Gemm_Rocblas_1140853036,0.0424163
GemmTunableOp_float_TN,tn_384_320_384,Gemm_Rocblas_1140853316,0.0156321
GemmTunableOp_float_TN,tn_384_7424_1536,Default,0.349905
GemmTunableOp_float_TN,tn_1536_7008_384,Default,0.308764
GemmTunableOp_float_TN,tn_384_8096_384,Gemm_Rocblas_1140853038,0.103851
GemmTunableOp_float_TN,tn_384_520_384,Gemm_Rocblas_1140853309,0.0203802
GemmTunableOp_float_TN,tn_384_7232_1536,Default,0.358311
GemmTunableOp_float_TN,tn_384_492_384,Gemm_Rocblas_1140853306,0.0173341
GemmTunableOp_float_TN,tn_384_576_1536,Gemm_Rocblas_1140853156,0.0629665
GemmTunableOp_float_TN,tn_384_6624_384,Gemm_Rocblas_1140853064,0.0939611
GemmTunableOp_float_TN,tn_384_6176_1536,Gemm_Rocblas_1140853036,0.338405
GemmTunableOp_float_TN,tn_384_604_1536,Gemm_Rocblas_1140853119,0.0636333
GemmTunableOp_float_TN,tn_384_16_384,Gemm_Rocblas_1140853249,0.0115117
GemmTunableOp_float_TN,tn_1536_976_384,Gemm_Rocblas_1140853030,0.0571053
GemmTunableOp_float_TN,tn_384_568_384,Gemm_Rocblas_1140853309,0.0205262
GemmTunableOp_float_TN,tn_384_976_384,Gemm_Rocblas_1140853157,0.021915
GemmTunableOp_float_TN,tn_384_436_1536,Gemm_Rocblas_1140853108,0.0479924
GemmTunableOp_float_TN,tn_384_880_1536,Gemm_Rocblas_1140853108,0.0680814
GemmTunableOp_float_TN,tn_384_6240_384,Gemm_Rocblas_1140853330,0.0939043
GemmTunableOp_float_TN,tn_384_256_1536,Gemm_Rocblas_1140853156,0.0381851
GemmTunableOp_float_TN,tn_384_6112_1536,Gemm_Rocblas_1140853328,0.261508
GemmTunableOp_float_TN,tn_1536_6_384,Gemm_Rocblas_1140853253,0.0150101
GemmTunableOp_float_TN,tn_384_936_384,Gemm_Rocblas_1140853100,0.0217578
GemmTunableOp_float_TN,tn_384_404_384,Gemm_Rocblas_1140853306,0.0171033
GemmTunableOp_float_TN,tn_384_5216_1536,Gemm_Rocblas_1140853038,0.262992
GemmTunableOp_float_TN,tn_1536_572_384,Gemm_Rocblas_1140853123,0.0424783
GemmTunableOp_float_TN,tn_1536_768_384,Gemm_Rocblas_1140853053,0.042882
GemmTunableOp_float_TN,tn_384_688_1536,Gemm_Rocblas_1140853098,0.0658061
GemmTunableOp_float_TN,tn_384_8000_384,Gemm_Rocblas_1140853047,0.1029
GemmTunableOp_float_TN,tn_384_680_1536,Gemm_Rocblas_1140853182,0.0600729
GemmTunableOp_float_TN,tn_1536_436_384,Gemm_Rocblas_1140853036,0.0310467
GemmTunableOp_float_TN,tn_384_184_384,Gemm_Rocblas_1140853316,0.0146777
GemmTunableOp_float_TN,tn_384_344_1536,Gemm_Rocblas_1140853309,0.0429863
GemmTunableOp_float_TN,tn_384_488_1536,Gemm_Rocblas_1140853180,0.0491756
GemmTunableOp_float_TN,tn_384_45_384,Gemm_Rocblas_1140853266,0.0136957
GemmTunableOp_float_TN,tn_1536_868_384,Gemm_Rocblas_1140853064,0.0499152
GemmTunableOp_float_TN,tn_384_588_1536,Gemm_Rocblas_1140853097,0.0633313
GemmTunableOp_float_TN,tn_384_6240_1536,Gemm_Rocblas_1140853036,0.33637
GemmTunableOp_float_TN,tn_384_408_384,Gemm_Rocblas_1140853306,0.0171821
GemmTunableOp_float_TN,tn_384_540_1536,Gemm_Rocblas_1140853170,0.0577576
GemmTunableOp_float_TN,tn_384_108_384,Gemm_Rocblas_1140853215,0.0136769
GemmTunableOp_float_TN,tn_384_672_384,Gemm_Rocblas_1140853120,0.020859
GemmTunableOp_float_TN,tn_1536_624_384,Gemm_Rocblas_1140853028,0.0440115
GemmTunableOp_float_TN,tn_1536_8000_384,Default,0.340111
GemmTunableOp_float_TN,tn_1536_592_384,Gemm_Rocblas_1140853036,0.0426015
GemmTunableOp_float_TN,tn_384_508_384,Gemm_Rocblas_1140853119,0.0174273
GemmTunableOp_float_TN,tn_384_952_384,Gemm_Rocblas_1140853100,0.0218586
GemmTunableOp_float_TN,tn_384_360_384,Gemm_Rocblas_1140853316,0.0156593
GemmTunableOp_float_TN,tn_1536_464_384,Gemm_Rocblas_1140853284,0.0308067
GemmTunableOp_float_TN,tn_384_804_1536,Gemm_Rocblas_1140853108,0.0661521
GemmTunableOp_float_TN,tn_384_644_1536,Gemm_Rocblas_1140853193,0.0640425
GemmTunableOp_float_TN,tn_1536_604_384,Gemm_Rocblas_1140853028,0.0430167
GemmTunableOp_float_TN,tn_384_8_1536,Gemm_Rocblas_1140853250,0.0202786
GemmTunableOp_float_TN,tn_1536_1024_384,Gemm_Rocblas_1140853030,0.054108
GemmTunableOp_float_TN,tn_384_2_384,Gemm_Rocblas_1140853253,0.0128073
GemmTunableOp_float_TN,tn_384_280_1536,Gemm_Rocblas_1140853181,0.0368155
GemmTunableOp_float_TN,tn_1536_2_384,Gemm_Rocblas_1140853266,0.0154497
GemmTunableOp_float_TN,tn_384_244_1536,Gemm_Rocblas_1140853265,0.0346503
GemmTunableOp_float_TN,tn_384_968_384,Gemm_Rocblas_1140853108,0.0218926
GemmTunableOp_float_TN,tn_384_616_1536,Gemm_Rocblas_1140853182,0.0586173
GemmTunableOp_float_TN,tn_384_448_1536,Gemm_Rocblas_1140853108,0.0466368
GemmTunableOp_float_TN,tn_1536_232_384,Gemm_Rocblas_1140853108,0.0223341
GemmTunableOp_float_TN,tn_1536_28_384,Gemm_Rocblas_1140853303,0.0142061
GemmTunableOp_float_TN,tn_1536_628_384,Gemm_Rocblas_1140853036,0.0414231
GemmTunableOp_float_TN,tn_1536_452_384,Gemm_Rocblas_1140853328,0.0314679
GemmTunableOp_float_TN,tn_384_64_384,Gemm_Rocblas_1140853262,0.0126725
GemmTunableOp_float_TN,tn_384_812_1536,Gemm_Rocblas_1140853108,0.0664933
GemmTunableOp_float_TN,tn_1536_220_384,Gemm_Rocblas_1140853108,0.0219902
GemmTunableOp_float_TN,tn_384_840_384,Gemm_Rocblas_1140853145,0.0216858
GemmTunableOp_float_TN,tn_384_452_384,Gemm_Rocblas_1140853306,0.0171917
GemmTunableOp_float_TN,tn_384_628_384,Gemm_Rocblas_1140853119,0.0206033
GemmTunableOp_float_TN,tn_384_5_384,Gemm_Rocblas_1140853249,0.0129197
GemmTunableOp_float_TN,tn_384_8192_1536,Gemm_Rocblas_1140853060,0.352448
GemmTunableOp_float_TN,tn_384_472_384,Gemm_Rocblas_1140853119,0.0173309
GemmTunableOp_float_TN,tn_1536_56_384,Gemm_Rocblas_1140853303,0.0154453
GemmTunableOp_float_TN,tn_1536_180_384,Gemm_Rocblas_1140853120,0.020831
GemmTunableOp_float_TN,tn_384_240_1536,Gemm_Rocblas_1140853265,0.0344283
GemmTunableOp_float_TN,tn_384_584_1536,Gemm_Rocblas_1140853174,0.0629441
GemmTunableOp_float_TN,tn_384_808_1536,Gemm_Rocblas_1140853130,0.0664817
GemmTunableOp_float_TN,tn_384_420_1536,Gemm_Rocblas_1140853316,0.0495851
GemmTunableOp_float_TN,tn_384_7232_384,Gemm_Rocblas_1140853043,0.100509
GemmTunableOp_float_TN,tn_384_272_1536,Gemm_Rocblas_1140853181,0.0391287
GemmTunableOp_float_TN,tn_384_684_1536,Gemm_Rocblas_1140853098,0.0662453
GemmTunableOp_float_TN,tn_1536_576_384,Gemm_Rocblas_1140853327,0.0410867
GemmTunableOp_float_TN,tn_1536_372_384,Gemm_Rocblas_1140853108,0.0287646
GemmTunableOp_float_TN,tn_1536_7232_384,Gemm_Rocblas_1140853290,0.343946
GemmTunableOp_float_TN,tn_384_336_1536,Gemm_Rocblas_1140853170,0.0425943
GemmTunableOp_float_TN,tn_1536_348_384,Gemm_Rocblas_1140853108,0.0284453
GemmTunableOp_float_TN,tn_1536_70_384,Gemm_Rocblas_1140853317,0.0184318
GemmTunableOp_float_TN,tn_1536_4928_384,Gemm_Rocblas_1140853290,0.230599
GemmTunableOp_float_TN,tn_384_780_384,Gemm_Rocblas_1140853100,0.0217154
GemmTunableOp_float_TN,tn_1536_6048_384,Gemm_Rocblas_1140853052,0.281676
GemmTunableOp_float_TN,tn_1536_7712_384,Default,0.36453
GemmTunableOp_float_TN,tn_384_180_384,Gemm_Rocblas_1140853142,0.0146653
GemmTunableOp_float_TN,tn_1536_528_384,Gemm_Rocblas_1140853036,0.0420391
GemmTunableOp_float_TN,tn_1536_268_384,Gemm_Rocblas_1140853157,0.0279214
GemmTunableOp_float_TN,tn_384_384_384,Gemm_Rocblas_1140853097,0.0154529
GemmTunableOp_float_TN,tn_1536_7904_384,Default,0.336156
GemmTunableOp_float_TN,tn_384_6368_384,Gemm_Rocblas_1140853064,0.0902703
GemmTunableOp_float_TN,tn_384_692_384,Gemm_Rocblas_1140853120,0.0210266
GemmTunableOp_float_TN,tn_384_352_384,Gemm_Rocblas_1140853097,0.0153913
GemmTunableOp_float_TN,tn_384_348_384,Gemm_Rocblas_1140853316,0.0156909
GemmTunableOp_float_TN,tn_384_6752_384,Gemm_Rocblas_1140853073,0.0938911
GemmTunableOp_float_TN,tn_1536_480_384,Gemm_Rocblas_1140853284,0.0309379
GemmTunableOp_float_TN,tn_1536_852_384,Gemm_Rocblas_1140853030,0.0531716
GemmTunableOp_float_TN,tn_384_312_1536,Gemm_Rocblas_1140853181,0.0407723
GemmTunableOp_float_TN,tn_384_7136_384,Gemm_Rocblas_1140853073,0.0960069
GemmTunableOp_float_TN,tn_384_636_384,Gemm_Rocblas_1140853097,0.020623
GemmTunableOp_float_TN,tn_384_232_1536,Gemm_Rocblas_1140853252,0.0346158
GemmTunableOp_float_TN,tn_1536_244_384,Gemm_Rocblas_1140853100,0.022441
GemmTunableOp_float_TN,tn_1536_440_384,Gemm_Rocblas_1140853064,0.030877
GemmTunableOp_float_TN,tn_384_7776_384,Gemm_Rocblas_1140853046,0.101615
GemmTunableOp_float_TN,tn_384_696_1536,Gemm_Rocblas_1140853098,0.0659973
GemmTunableOp_float_TN,tn_384_372_384,Gemm_Rocblas_1140853097,0.0157065
GemmTunableOp_float_TN,tn_384_356_1536,Gemm_Rocblas_1140853316,0.042992
GemmTunableOp_float_TN,tn_384_444_1536,Gemm_Rocblas_1140853108,0.0471624
GemmTunableOp_float_TN,tn_384_68_1536,Gemm_Rocblas_1140853251,0.0256029
GemmTunableOp_float_TN,tn_1536_700_384,Gemm_Rocblas_1140853064,0.0419455
GemmTunableOp_float_TN,tn_384_680_384,Gemm_Rocblas_1140853098,0.0211346
GemmTunableOp_float_TN,tn_384_700_1536,Gemm_Rocblas_1140853143,0.0662766
GemmTunableOp_float_TN,tn_384_344_384,Gemm_Rocblas_1140853097,0.0157049
GemmTunableOp_float_TN,tn_384_788_384,Gemm_Rocblas_1140853100,0.0217146
GemmTunableOp_float_TN,tn_384_7712_384,Gemm_Rocblas_1140853046,0.101201
GemmTunableOp_float_TN,tn_1536_60_384,Gemm_Rocblas_1140853151,0.0156753
GemmTunableOp_float_TN,tn_1536_560_384,Gemm_Rocblas_1140853036,0.0422224
GemmTunableOp_float_TN,tn_384_300_384,Gemm_Rocblas_1140853316,0.0158693
GemmTunableOp_float_TN,tn_1536_6240_384,Gemm_Rocblas_1140853331,0.294578
GemmTunableOp_float_TN,tn_1536_336_384,Gemm_Rocblas_1140853108,0.0281066
GemmTunableOp_float_TN,tn_1536_260_384,Gemm_Rocblas_1140853157,0.0279058
GemmTunableOp_float_TN,tn_1536_7552_384,Gemm_Rocblas_1140853331,0.344497
GemmTunableOp_float_TN,tn_384_460_1536,Gemm_Rocblas_1140853100,0.0480952
GemmTunableOp_float_TN,tn_384_732_1536,Gemm_Rocblas_1140853098,0.0654465
GemmTunableOp_float_TN,tn_384_144_384,Gemm_Rocblas_1140853197,0.0146621
GemmTunableOp_float_TN,tn_1536_7392_384,Gemm_Rocblas_1140853331,0.345603
GemmTunableOp_float_TN,tn_1536_476_384,Gemm_Rocblas_1140853284,0.0309142
GemmTunableOp_float_TN,tn_384_376_384,Gemm_Rocblas_1140853316,0.0157377
GemmTunableOp_float_TN,tn_384_6400_384,Gemm_Rocblas_1140853073,0.0895363
GemmTunableOp_float_TN,tn_384_468_384,Gemm_Rocblas_1140853306,0.0172993
GemmTunableOp_float_TN,tn_384_584_384,Gemm_Rocblas_1140853316,0.0205438
GemmTunableOp_float_TN,tn_384_220_1536,Gemm_Rocblas_1140853248,0.0344462
GemmTunableOp_float_TN,tn_384_288_384,Gemm_Rocblas_1140853316,0.0154417
GemmTunableOp_float_TN,tn_384_552_384,Gemm_Rocblas_1140853316,0.0205078
GemmTunableOp_float_TN,tn_384_516_384,Gemm_Rocblas_1140853316,0.020377
GemmTunableOp_float_TN,tn_1536_508_384,Gemm_Rocblas_1140853284,0.0329235
GemmTunableOp_float_TN,tn_1536_352_384,Gemm_Rocblas_1140853108,0.0283022
GemmTunableOp_float_TN,tn_384_7424_384,Gemm_Rocblas_1140853046,0.0930296
GemmTunableOp_float_TN,tn_384_608_1536,Gemm_Rocblas_1140853097,0.0630153
GemmTunableOp_float_TN,tn_1536_6688_384,Gemm_Rocblas_1140853290,0.30533
GemmTunableOp_float_TN,tn_384_412_1536,Gemm_Rocblas_1140853170,0.0419779
GemmTunableOp_float_TN,tn_1536_156_384,Gemm_Rocblas_1140853316,0.0203597
GemmTunableOp_float_TN,tn_384_7648_1536,Default,0.359609
GemmTunableOp_float_TN,tn_384_556_384,Gemm_Rocblas_1140853097,0.0205902
GemmTunableOp_float_TN,tn_1536_316_384,Gemm_Rocblas_1140853145,0.0283558
GemmTunableOp_float_TN,tn_384_92_384,Gemm_Rocblas_1140853197,0.0128769
GemmTunableOp_float_TN,tn_384_7584_384,Gemm_Rocblas_1140853047,0.099146
GemmTunableOp_float_TN,tn_384_544_384,Gemm_Rocblas_1140853316,0.020019
GemmTunableOp_float_TN,tn_384_548_1536,Gemm_Rocblas_1140853170,0.0611109
GemmTunableOp_float_TN,tn_384_280_384,Gemm_Rocblas_1140853316,0.0158929
GemmTunableOp_float_TN,tn_1536_64_384,Gemm_Rocblas_1140853324,0.0148157
GemmTunableOp_float_TN,tn_1536_288_384,Gemm_Rocblas_1140853157,0.0280366
GemmTunableOp_float_TN,tn_384_396_1536,Gemm_Rocblas_1140853193,0.045942
GemmTunableOp_float_TN,tn_384_6304_1536,Gemm_Rocblas_1140853036,0.313304
GemmTunableOp_float_TN,tn_384_412_384,Gemm_Rocblas_1140853306,0.0172621
GemmTunableOp_float_TN,tn_1536_644_384,Gemm_Rocblas_1140853101,0.044722
GemmTunableOp_float_TN,tn_384_776_384,Gemm_Rocblas_1140853100,0.0217786
GemmTunableOp_float_TN,tn_384_204_384,Gemm_Rocblas_1140853316,0.0146797
GemmTunableOp_float_TN,tn_384_224_1536,Gemm_Rocblas_1140853258,0.0344058
GemmTunableOp_float_TN,tn_1536_5_384,Gemm_Rocblas_1140853253,0.0150729
GemmTunableOp_float_TN,tn_1536_492_384,Gemm_Rocblas_1140853073,0.0307867
GemmTunableOp_float_TN,tn_1536_880_384,Gemm_Rocblas_1140853073,0.0543885
GemmTunableOp_float_TN,tn_1536_380_384,Gemm_Rocblas_1140853108,0.0289286
GemmTunableOp_float_TN,tn_384_428_1536,Gemm_Rocblas_1140853094,0.0449252
GemmTunableOp_float_TN,tn_384_444_384,Gemm_Rocblas_1140853306,0.0172445
GemmTunableOp_float_TN,tn_384_604_384,Gemm_Rocblas_1140853309,0.0205522
GemmTunableOp_float_TN,tn_384_484_384,Gemm_Rocblas_1140853306,0.0172129
GemmTunableOp_float_TN,tn_384_6304_384,Gemm_Rocblas_1140853073,0.0906927
GemmTunableOp_float_TN,tn_384_240_384,Gemm_Rocblas_1140853308,0.0150945
GemmTunableOp_float_TN,tn_384_9_384,Gemm_Rocblas_1140853249,0.0130913
GemmTunableOp_float_TN,tn_384_504_1536,Gemm_Rocblas_1140853180,0.0485768
GemmTunableOp_float_TN,tn_1536_564_384,Gemm_Rocblas_1140853123,0.0428699
GemmTunableOp_float_TN,tn_1536_404_384,Gemm_Rocblas_1140853066,0.0300538
GemmTunableOp_float_TN,tn_1536_248_384,Gemm_Rocblas_1140853100,0.022415
GemmTunableOp_float_TN,tn_384_172_384,Gemm_Rocblas_1140853320,0.0145949
GemmTunableOp_float_TN,tn_384_576_384,Gemm_Rocblas_1140853120,0.0200998
GemmTunableOp_float_TN,tn_384_192_384,Gemm_Rocblas_1140853316,0.0143505
GemmTunableOp_float_TN,tn_384_260_384,Gemm_Rocblas_1140853316,0.0158433
